Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Kirkland, WA	February 2012	$380K	-13.6%	-5.0%	67	26.4%	31.4%	87	19.2%	6.1%	176	-9.3%	-36.0%	87	25	-15	98.1%	0.9%	1.5%
Kirkland, WA	March 2012	$375K	-1.3%	1.5%	67	0.0%	17.5%	92	5.7%	-25.8%	152	-13.6%	-47.8%	28	-59	-78	97.6%	-0.5%	2.1%
Kirkland, WA	April 2012	$387K	3.2%	-5.8%	81	20.9%	5.2%	93	1.1%	-29.0%	164	7.9%	-48.8%	29	1	-16	98.1%	0.5%	1.3%
Kirkland, WA	May 2012	$400K	3.4%	-3.6%	85	4.9%	-6.6%	135	45.2%	28.6%	190	15.9%	-38.7%	12	-17	-21	98.0%	-0.1%	0.3%
Kirkland, WA	June 2012	$424K	6.0%	2.9%	94	10.6%	20.5%	119	-11.9%	30.8%	197	3.7%	-36.2%	12	0	-13	99.4%	1.4%	2.4%
Kirkland, WA	July 2012	$455K	7.3%	-6.4%	84	-10.6%	33.3%	119	0.0%	17.8%	210	6.6%	-32.9%	11	-1	-15	98.9%	-0.4%	0.8%
Kirkland, WA	August 2012	$515K	13.2%	9.6%	85	1.2%	19.7%	106	-10.9%	30.9%	226	7.6%	-26.1%	22	11	-17	98.8%	-0.1%	2.5%
Kirkland, WA	September 2012	$482K	-6.4%	13.4%	83	-2.4%	27.7%	87	-17.9%	1.2%	201	-11.1%	-31.6%	31	9	-17	97.2%	-1.6%	-0.6%
Kirkland, WA	October 2012	$450K	-6.6%	14.8%	88	6.0%	31.3%	89	2.3%	18.7%	164	-18.4%	-38.3%	36	5	1	99.0%	1.7%	0.5%
Kirkland, WA	November 2012	$480K	6.7%	14.4%	95	8.0%	66.7%	75	-15.7%	50.0%	141	-14.0%	-37.1%	18	-18	-44	98.7%	-0.3%	1.1%
Kirkland, WA	December 2012	$439K	-8.6%	0.9%	84	-11.6%	25.4%	34	-54.7%	0.0%	120	-14.9%	-39.1%	40	22	-24	98.2%	-0.5%	1.5%
Kirkland, WA	January 2013	$406K	-7.5%	-7.8%	50	-40.5%	-5.7%	83	144.1%	13.7%	126	5.0%	-35.1%	20	-20	-42	98.4%	0.2%	1.2%
Kirkland, WA	February 2013	$451K	11.0%	18.6%	56	12.0%	-16.4%	96	15.7%	10.3%	116	-7.9%	-34.1%	15	-5	-72	99.5%	1.1%	1.4%
Kirkland, WA	March 2013	$538K	19.3%	43.3%	88	57.1%	31.3%	115	19.8%	25.0%	125	7.8%	-17.8%	8	-7	-20	100.1%	0.6%	2.5%
Kirkland, WA	April 2013	$488K	-9.2%	26.2%	94	6.8%	16.0%	135	17.4%	45.2%	154	23.2%	-6.1%	8	0	-21	101.8%	1.7%	3.7%
Kirkland, WA	May 2013	$523K	7.0%	30.6%	122	29.8%	43.5%	165	22.2%	22.2%	179	16.2%	-5.8%	8	0	-4	100.5%	-1.3%	2.5%
Kirkland, WA	June 2013	$520K	-0.6%	22.5%	114	-6.6%	21.3%	149	-9.7%	25.2%	215	20.1%	9.1%	10	2	-2	101.5%	1.0%	2.1%
Kirkland, WA	July 2013	$526K	1.2%	15.6%	114	0.0%	35.7%	144	-3.4%	21.0%	221	2.8%	5.2%	8	-2	-3	102.2%	0.7%	3.3%
Kirkland, WA	August 2013	$537K	2.2%	4.3%	134	17.5%	57.6%	100	-30.6%	-5.7%	201	-9.0%	-11.1%	11	3	-11	100.4%	-1.8%	1.5%
Kirkland, WA	September 2013	$492K	-8.4%	2.1%	91	-32.1%	9.6%	107	7.0%	23.0%	192	-4.5%	-4.5%	13	2	-18	100.3%	0.0%	3.1%
Kirkland, WA	October 2013	$520K	5.7%	15.6%	103	13.2%	17.0%	94	-12.1%	5.6%	176	-8.3%	7.3%	13	0	-23	100.1%	-0.2%	1.1%
Kirkland, WA	November 2013	$485K	-6.7%	1.0%	93	-9.7%	-2.1%	57	-39.4%	-24.0%	160	-9.1%	13.5%	13	0	-5	100.3%	0.2%	1.6%
Kirkland, WA	December 2013	$535K	10.3%	21.9%	70	-24.7%	-16.7%	40	-29.8%	17.6%	134	-16.3%	11.7%	28	15	-12	99.5%	-0.7%	1.4%
Kirkland, WA	January 2014	$578K	8.0%	42.5%	41	-41.4%	-18.0%	82	105.0%	-1.2%	135	0.7%	7.1%	66	38	46	99.9%	0.4%	1.5%
Kirkland, WA	February 2014	$590K	2.1%	31.0%	70	70.7%	25.0%	76	-7.3%	-20.8%	133	-1.5%	14.7%	24	-42	9	100.1%	0.2%	0.6%
Kirkland, WA	March 2014	$555K	-5.9%	3.3%	71	1.4%	-19.3%	93	22.4%	-19.1%	129	-3.0%	3.2%	10	-14	2	100.4%	0.3%	0.3%
Kirkland, WA	April 2014	$540K	-2.7%	10.6%	81	14.1%	-13.8%	124	33.3%	-8.1%	133	3.1%	-13.6%	8	-2	0	101.6%	1.2%	-0.2%
Kirkland, WA	May 2014	$600K	11.1%	14.8%	105	29.6%	-13.9%	162	30.6%	-1.8%	179	34.6%	0.0%	13	5	5	100.5%	-1.1%	0.0%
Kirkland, WA	June 2014	$652K	8.6%	25.4%	106	1.0%	-7.0%	137	-15.4%	-8.1%	196	9.5%	-8.8%	8	-5	-2	100.7%	0.2%	-0.8%
Kirkland, WA	July 2014	$528K	-19.0%	0.3%	124	17.0%	8.8%	156	13.9%	8.3%	232	18.4%	5.0%	8	0	0	101.2%	0.5%	-1.0%
Kirkland, WA	August 2014	$545K	3.3%	1.4%	125	0.8%	-6.7%	125	-19.9%	25.0%	250	7.8%	24.4%	9	1	-2	99.7%	-1.5%	-0.7%
Kirkland, WA	September 2014	$540K	-0.9%	9.8%	93	-25.6%	2.2%	117	-6.4%	9.3%	228	-8.8%	18.8%	19	10	6	99.3%	-0.4%	-1.1%
Kirkland, WA	October 2014	$596K	10.4%	14.6%	104	11.8%	1.0%	98	-16.2%	4.3%	205	-10.1%	16.5%	26	7	13	98.9%	-0.4%	-1.2%
Kirkland, WA	November 2014	$611K	2.5%	26.0%	80	-23.1%	-14.0%	51	-48.0%	-10.5%	146	-28.8%	-8.8%	29	3	16	98.9%	0.1%	-1.3%
Kirkland, WA	December 2014	$486K	-20.5%	-9.2%	98	22.5%	40.0%	29	-43.1%	-27.5%	97	-33.6%	-27.6%	48	19	20	99.1%	0.2%	-0.4%
Kirkland, WA	January 2015	$607K	25.0%	5.1%	66	-32.7%	61.0%	73	151.7%	-11.0%	101	4.1%	-25.2%	46	-2	-20	98.2%	-0.9%	-1.7%
Kirkland, WA	February 2015	$565K	-7.0%	-4.2%	57	-13.6%	-18.6%	117	60.3%	53.9%	136	34.7%	2.3%	17	-29	-7	99.8%	1.5%	-0.4%
Kirkland, WA	March 2015	$618K	9.4%	11.3%	93	63.2%	31.0%	117	0.0%	25.8%	122	-10.3%	-5.4%	9	-8	-1	101.4%	1.7%	1.0%
Kirkland, WA	April 2015	$626K	1.2%	15.8%	110	18.3%	35.8%	138	17.9%	11.3%	145	18.9%	9.0%	8	-1	0	101.5%	0.1%	-0.1%
Kirkland, WA	May 2015	$643K	2.7%	7.1%	100	-9.1%	-4.8%	151	9.4%	-6.8%	171	17.9%	-4.5%	8	0	-5	100.9%	-0.6%	0.4%
Kirkland, WA	June 2015	$634K	-1.4%	-2.7%	120	20.0%	13.2%	136	-9.9%	-0.7%	189	10.5%	-3.6%	9	1	1	101.5%	0.6%	0.8%
